"ID_PK","ID","Interest"
"1","80","BackPacking"
"2","80","Drinking"
"3","80","Hiking"
"4","80","Backgammon"
"6","85","Fishing in the ocean"
"7","82","Play piano"
"8","79","Competition bridge"
"9","79","Playing the piano"
"11","88","Web programming"
"12","88","Science fiction"
"13","98","Hiking"
"14","98","Working out"
"15","98","Camping"
"16","133","Reading"
"17","148","Swimming, taking pictures, and putting on make-up"
"18","124","Reading"
"19","124","Travelling"
"20","151","Working with disabled children"
"21","155","Taking pictures & sports"
"22","160","Hunting"
"23","160","Fishing"
"24","160","Out doors"
"25","164","Reading"
"26","169","Pictures, sports"
"27","170","Track"
"28","170","Basketball"
"29","170","School choir"
"30","150","Hunting"
"31","150","Fishing"
"32","150","Playing guitar"
"33","162","Golf"
"34","162","Working on Cars"
"36","180","Tiger theatre"
"37","186","Coaching and playing soccer"
"38","181","Dancing"
"39","181","Basketball"
"40","181","Reading"
"41","181","Music"
"42","181","Volleyball"
"43","190","Reading, horseback riding, movies"
"44","194","Guitar"
"45","194","Drawing"
"46","198","My intrest include make up artistry and becoming a"
"47","192","Like to play soccer"
"48","192","Like to swim,go snorkleing, and canoeing"
"49","192","Love to fish,hunt,camp, and hike."
"50","161","I enjoy trying to learn as much as i can on engine"
"51","107","Tennis"
"52","107","Writing"
"53","107","Reading"
"54","107","Computer Skills"
"55","107","Gaining Knowledge"
"56","107","Helping others/community"
"57","203","Baseball"
"58","203","Basketball"
"59","203","Football"
"60","203","Coaching"
"61","204","Bicycling"
"62","204","Fly fishing"
"63","204","Cross-country skiing"
"64","204","Canoeing"
"65","204","Reading"
"66","209","Backpacking"
"67","232","Scrapbooking"
"68","232","Animals"
"69","232","Forensics"
"70","232","Swimming"
"71","232","Outdoors"
"72","232","Handy woman"
"73","236","Horseback ride"
"74","236","Soccer"
"75","236","Swine"
"76","238","Cooking writing helping others"
"77","254","Gaming"
"78","254","Warhammer"
"79","255","Hunting/fishing "
"80","281","Playing vido games whith freinds"
"81","281","Watching house"
"82","281","Watching heros"
"83","281","Watching bones"
"84","281","Watching bionic women"
"85","291","Volunteering within the community."
"86","291","Playing guitar and piano."
"87","292","Reading"
"88","292","Hunting"
"89","292","Spending times with friends and family"
"90","293","Metal Detecting"
"91","293","Scuba Diving"
"92","293","Coin Collecting"
"94","301","Photography"
"95","301","Track and field"
"96","301","Soccer"
"97","301","Volleyball"
"98","297","Video games, anime, card games, kendo"
"99","301","Cross Country"
"100","301","Basketball"
"101","305","Making movies for my boy scout troop"
"102","296","Gaming"
"103","296","3D CS Map Making"
"104","299","Video Games"
"105","304","Working"
"106","303","Computer"
"107","310","Modeling"
"108","299","Skateboarding"
"109","312","Track and field, espn magazines, basketball,"
"110","300","Cheerleading/Secretary"
"111","306","Fishing"
"112","306","Hunting"
"113","306","Collecting guns"
"114","306","Boating"
"115","295","Writing novels"
"116","295","Reading"
"117","307","Soccer, BPA, student concil, art class, singing"
"118","311","Basketball"
"119","311","Reading"
"120","317","Model design "
"121","319","Aviation"
"122","317","Music"
"123","317","Product design"
"124","317","Graphic design"
"125","317","Digital design"
"126","317","Reading"
"127","317","Motorcycle riding"
"128","317","Composing and writting music"
"129","317","Halloween costume design"
"130","317","Holiday prop design"
"132","330","Student Council"
"133","330","Violinist"
"134","333","Dancing"
"135","333","Playing the piano"
"136","335","Soccer"
"137","329","Networking"
"138","333","Interior design"
"139","316","Graphic design"
"140","347","Detailing"
"141","355","Playing video games"
"142","355","Collecting games and movies"
"143","343"," baseball"
"144","342","Snowboarding"
"145","362","Building and creating with knex or legos"
"146","349","Basketball"
"147","342","Wakeboarding"
"148","349","Baseball"
"149","342","Computer games"
"150","349","Personal trainer"
"151","362","Reading"
"152","349","Football"
"153","351","Sports"
"154","362","Cooking"
"155","349","Sports Broadcasting"
"156","351","Web design"
"157","351","Video games"
"158","356","Military"
"159","344","Playing all sports"
"160","358","Web design"
"161","358","Graphic design"
"162","341","Dancing"
"163","341","Talking"
"164","358","Writting"
"165","341","Camping"
"166","341","Singing"
"167","344","Praise dancing at church, singing in the church ch"
"168","361","Reading"
"169","361","Steal band"
"170","357","R/c airplanes"
"171","340","Computers"
"172","340","Animals"
"173","340","Music"
"174","353","Golfing"
"175","353","Fishing"
"176","353","Basketball"
"177","353","Boating"
"178","345","Volleyball"
"179","345","Medical history"
"180","345","Early childhood care "
"181","353","Tubing"
"182","358","Music videos"
"183","342","Skydiving"
"184","339","I want to beocome an Orthoduntist"
"185","342","Wakeskating"
"186","342","Skimboarding"
"187","339","I want to become a hair stylist"
"188","353","Fourwheeling"
"189","339","I want to become a Mid-Wife"
"190","339","My hobby is stepping"
"191","339","My hobby is taking care of underage children ages "
"192","350","Disk jockey"
"193","272","BMX"
"194","223","Airplanes"
"195","374","Walking"
"196","374","Running"
"197","374","Shopping"
"198","374","Reading"
"199","374","Writing"
"200","374","Designing (clothes)"
"201","378","Computers"
"202","378","Anime"
"203","378","Games"
"204","390","Cars"
"205","390","Computers"
"206","370","Programming"
"207","369","Computers"
"208","370","Networking"
"209","373","Networking"
"210","373","Computer repair"
"211","373","Look up new things"
"212","371","Soccer"
"213","376","Internet"
"214","382","Soccer, karate"
"215","372","Programming"
"216","372","Skateboarding"
"217","391","Computer gaming"
"218","391","Reading"
"219","413","Football"
"220","413","Track and field"
"221","413","Racing"
"222","413","Outdoor activities"
"223","270","Cross country"
"224","270","Track & field"
"225","270","Youth group at Mt. Rainier Christian Center"
"226","418","Culinary arts"
"227","418","Computers"
"228","418","Buisness"
"229","419","Field hockey"
"230","431","Dancing"
"231","422","Play football"
"232","434","Learning new things"
"233","433","4-H, wheeling, horse riding, fish, hunt"
"234","436","Workign out and learnign more"
"235","443","Laziness"
"236","438","Media production"
"237","444","Yoga"
"485","0","Basketball"
"238","444","Hiking"
"239","444","Reading"
"240","446","Playing the guitar"
"241","442","Picking apples"
"242","439","Girl Scouts"
"243","454","Skateboarding"
"244","453","I love to listen to music"
"245","445","Llama Breeding"
"246","447","Raves."
"247","449","Dance"
"248","449","Camping"
"249","448","Drawing"
"250","452","Acting, dancing, camping, sports"
"251","455","Art"
"252","451","Skateboarding and art"
"253","433","Sports, Dance, Walking, Fishing"
"254","461","Reading, Writing, play fighting, hurting people wh"
"255","460","Rumblin"
"256","456","Well i like to play with myslef.... at halo......."
"257","458","Bmx bikes "
"258","457","Butt picking"
"259","467","Football"
"260","467","Computers"
"261","468","Dirt biking"
"262","423","Photography"
"263","423","Playing guitar"
"264","423","Jewelry making"
"265","423","Floral arranging"
"266","423","Playing the violin"
"267","423","Taking care/playing with little kids"
"268","423","Working with photoshop"
"269","469","Bowling"
"270","469","Golfing"
"271","469","Tennis"
"272","469","Archery"
"273","469","Halo"
"274","487","Making things with my hands"
"275","486","Photography"
"276","502","Football"
"277","490","Musical Theater"
"278","490","Singing"
"279","521","Meow"
"280","514","Play soccer and basketball, art"
"281","518","Halo"
"282","527","Typing"
"283","527","Writing"
"284","527","Football"
"285","548","Playing piano"
"286","548","Dancing"
"287","523","Acting"
"288","523","Singing"
"289","554","Dance"
"290","554","Art, poetry"
"291","554","Reading"
"292","554","Exercising"
"293","554","Debate"
