"ID_PK","ID","Trait_1","Trait_2","Trait_3","Opening_Sentence"
"10","79","smart","fun","prompt","Deric Cadora, a family friend, told me that you may be looking for a programmer. I would appreciate an interview for this position."
"22","153","outgoing","hard-working","respectable",
"25","160","trustworthy","concentrated","hard working",
"28","169","trustworthy","hard-working","dependable",
"29","171","outgoing","responsible","reliable",
"34","184","friendly","trustworthy","helpful",
"35","194","diligent","intelligent","dependable",
"36","198","hard working","prompt","a people person",
"3605","8144","Hard working ","patient ","responsible",
"4819","10263","smart","funny","energetic",
"4820","10141","positive","caring","hard working",
"4832","10240","hard working","friendy","kind",
"4859","10335","friendly","hard working","have a sense of humor",
"4889","10374","friendly","hard working","out going",
"4890","10268","angry","hard working","competent",
"4891","10311","haedworking.","energetic.","friendly.",
"4892","10380","friendly ","hard working ","responsible ",
"4893","10379","friendly","hard working","independent",
"4894","10383","friendly","hard working","competent",
"4906","10394","energetic","caring","hard working",
"4907","10398","friendly person","hard working","dedicated",
"4908","10402","Friendly","Polite to Others ","Respectful ",
"4909","10392","friendly","hard working","strong willed",
"4910","10403","Hard Working","Talkative","Friendly",
"4911","10404","honest","loyal","competent",
"4912","10407","very fun","hard working","expermental ",
"4913","10409","nice","pretty ","hard working",
"4914","10410","friend","father","role model",
"4915","10411","friendly","hard-working","patient",
"4917","10416","Kind","Smart","Hard working",
"408","0","Outgoing","Crazy","Exciting",
"4559","9721","Ambitious","Friendly","funny",
"4895","10332","caring","level headed","independant",
"4896","10385","very funny","out going","hard working and able to work alone and with group",
"4897","10386","friendly","funny","artistic",
"4898","10386","friendly","funny","artistic",
"4899","10386","friendly","funny","artistic",
"4905","10280","caring","having eye contact with customers","friendly",
"4916","10413","hard working","friendly","perciveerent",
"4918","10419","calm","hard working","easy to get along with",
"4919","10426","friendly with others","hard-working ","responsible ",
"4920","10427","awesome","loyal ","competent",
"4921","10428","quiet","dedicated","level-headed",
"4922","10435","smart","helpful","hard-working",
"4923","10438","rich","helpful","kind",
"4924","10440","friendly","quiet","hard-working",
"4925","10444","friendly","competitvie ","athletic ",
"4926","10445","on time","a hard worker","responsible",
"4927","10450","kind","fast paced","hard working",
"4928","10449","outgoing","hard working ","social",
"4929","10448","Hard Working","Friendly","Kind",
"4930","10451","Friendly","Hardworking","Out going ",
"4931","10449","outgoing","hard working ","social",
"4932","10458","kind","inspired","dedicated",
"4933","10462","crazy","funny","smart",
"4934","10461","Honest","Hard working","Friendly",
"4935","10443","outgoing","creative","hard working",
"4936","10457","Honest","Good with numbers","Mannerly",
"4937","10468","efficient","enthusiastic","professional",
"4938","10471","hard working","kind","talkative",
"4939","10478","organized","neat","hardworking",
"4940","10484","Discipline","hard working","responsible",
"4941","10487","Smart","Funny","Honest",
"4987","10563","kind","smart","hard-working",
"4988","10566","Friendly ","Hard Working ","Outgoing ",
"4989","10569","Friendly","Trustworthy","Motivated",
"4990","10570","well-organized","dependable","punctual",
"4991","10572","Friendly ","Deticated ","Passionate ",
"4992","10573","loyal","kind","friendly",
"4993","10574","Trustworthy","Nice","Kind",
"4994","10576","dependable","enthusiastic","hardworking",
"4995","10579","determined","hard working","devoted",
"4996","10580","Hard working","Dependable","Helpful",
"4997","10577","friendly","dependable","hardworking",
"4998","10231","outgoing","hard worker ","dedicated ",
"4999","10590","nice","hard-working","competent",
"5000","10588","Persistant","Patience ","Fast",
"5001","10596","responsihle","caring","honest",
"5002","10598","nice","hard working","smart",
"5003","10585","friendly","hard working","responsible",
"5004","10586","Friendly ","Hard working ","Helpful ",
"5006","10601","hard working","caring","a fast learner",
