"ID","IssueMonth","IssueYear","Title","Summary","FileName","isActive","DatePosted","Program","Email"
"41","8","2005","Internships Are a Great Way To Test Out a Career",,"AUG 2005 Edition.pdf","1","08/04/05 18:30:55","CD","0"
"42","9","2005","Preventing Dropout Disasters",,"Preventing Dropout Disasters.pdf","1","09/08/05 16:29:13","CD","0"
"43","10","2005","Seamless Education Can Prevent Students from Falling through the Cracks",,"Career Direction Update OCT 05.PDF","1","10/12/05 13:45:22","CD","0"
"44","11","2005","Living a Balanced Life in an Unbalanced World",,"Career Direction Update November.pdf","1","11/15/05 11:23:01","CD","0"
"45","1","2006","Volunteerism: Students Making a Difference",,"Career Direction Update Jan 06 pdf.pdf","1","01/06/06 15:03:50","CD","0"
"46","2","2006","Parents in the Advisement Process",,"FEB Career Direction Update.pdf","1","02/09/06 11:12:12","CD","0"
"47","3","2006","Preparing Students for Professional Degree Programs",,"March 06 Update.pdf","1","03/20/06 15:16:57","CD","0"
"48","4","2006","April 2006 - Announcing the New Career Direction Workbook",,"April 2006 - Announcing the New Career Direction Workbook.pdf","1","04/19/06 14:27:31","CD","0"
"49","5","2006","""College First"" Program Information",,"May 06.pdf","1","05/05/06 09:37:56","CD","0"
"51","6","2006","Career Direction Scholarship Winners",,"Web page for Scholarships 2006.pdf","1","06/29/06 14:36:56","CD","0"
"52","10","2006","Three Secrets",,"Career Direction Sep 06.pdf","1","09/28/06 15:13:05","CD","0"
"53","11","2006","When Students Run Away from Home",,"When Students Run Away from Home.pdf","1","11/06/06 16:04:19","CD","0"
"54","12","2006","Students Who Fall Through the Cracks",,"Dec 07 Students Who Slip through the Cracks.pdf","1","12/05/06 14:03:46","CD","0"
"55","1","2007","Motivating Students to Greatness",,"Jan 07 Motivating Students to Greatness.pdf","1","01/09/07 15:05:28","CD","0"
"56","2","2007","Dealing with Gender Issues in the Classroom",,"Dealing with Gender Issues in the Classroom.pdf","1","02/09/07 17:21:09","CD","0"
"57","3","2007","To Thine Own Self Be True",,"MAR 07 To Thine Own Self Be True.pdf","1","03/12/07 11:23:20","CD","0"
"58","4","2007","Comfort zones can be mighty uncomfortable!",,"Comfort zones can be mighty uncomfortable!.pdf","1","04/24/07 16:48:03","CD","0"
"68","9","2007","When Popularity Isn't Enough",,"ffNewsletterSep07.html","1","09/13/07 14:11:22","FF","0"
"69","9","2007","When Popularity Isn't Enough",,"cdNewsletterSep07.html","1","09/13/07 15:15:51","CD","0"
"71","10","2007","Using Words that Affirm",,"cdNewsletterOct07.html","1","10/18/07 16:11:30","CD","0"
"72","10","2007","Using Words that Affirm",,"ffNewsletterOct07.html","1","10/18/07 16:12:19","FF","0"
"80","2","2008","Mid-Year Moves - A Teenager's Nightmare",,"ffNewsletterJan08.html","1","01/28/08 10:49:39","FF","0"
"83","1","2008","Mid-Year Moves - A Teenager's Nightmare",,"CDNewsletterFeb08.html","1","01/28/08 15:45:24","CD","0"
"89","4","2008","The Role of Parents in the Career Guidance Process",,"CDNewsletterApr08.html","1","04/03/08 13:49:50","CD","0"
"90","4","2008","The Role of Parents in the Career Guidance Process",,"ffNewsletterApr08.html","1","04/03/08 14:01:34","FF","0"
"92","5","2008","Coping with Change",,"CDNewsletterMay08.html","1","05/23/08 15:13:07","CD","0"
"93","5","2008","Coping with Change",,"ffNewsletterMay08.html","1","05/23/08 15:14:05","FF","0"
"94","8","2008","August 08 Newsletter",,"CDNewsletterAug08.html","1","08/25/08 12:07:32","CD","1"
"95","8","2008","2008 Career Direction Scholarship Winners",,"CDNewsletterAug081.html","1","10/29/08 13:41:19","CD","0"
"96","9","2008","Change - Love It or Hate It",,"CDNewsletterSEP08.html","1","10/29/08 13:46:37","CD","0"
"97","10","2008","Helping Students Deal with Fear",,"CDNewsletterOCT08.html","1","11/05/08 15:24:45","CD","0"
"98","11","2008","Learning in the Zone - Part 1",,"CDNewsletterNOV08.html","1","11/05/08 15:22:59","CD","0"
"29","11","2004","College Financial Aid Is Essential",,"Career Direction Update NOV 04.pdf","1","12/22/04 13:22:56","CD","0"
"32","10","2004","Helping You Help Your Students",,"Career Direction Update OCT 04.pdf","1","12/22/04 13:26:51","CD","0"
"33","9","2004","It's a New School Year!",,"Career Direction Update SEP 04.pdf","1","12/22/04 13:29:40","CD","0"
"34","12","2004","Advising Those ""Adventure"" Students",,"Career Direction Update DEC 04.pdf","1","01/17/05 14:57:08","CD","0"
"35","1","2005","It's a High-Tech World<br />",,"Career Direction Update JAN 05.pdf","1","02/07/05 17:22:12","CD","0"
"36","2","2005","Show Me The Money<br />",,"Career Direction Update FEB 05.pdf","1","02/24/05 11:10:20","CD","0"
"37","3","2005","Community Colleges Are Cool",,"Career Direction Update MAR 05.pdf","1","03/24/05 14:32:26","CD","0"
"38","4","2005","Military Opportunities<br />",,"Career Direction Update APR 05.pdf","1","04/22/05 16:55:54","CD","0"
"39","5","2005","Technical Education<br />",,"Career Direction Update MAY 05.pdf","1","05/24/05 18:12:28","CD","0"
"40","6","2005","Career Direction Scholarship",,"Career Direction Update JUN 05.pdf","1","06/20/05 18:19:21","CD","0"
"99","11","2008","Learning in the Zone - Part 1",,"ffNewsletterNOV08.html","1","11/05/08 16:23:09","FF","0"
"101","12","2008","Learning in the Zone - Part 2",,"CDNewsletterDEC08.html","1","12/12/08 11:20:52","CD","0"
"102","12","2008","Learning in the Zone - Part 2",,"ffNewsletterDEC08.html","1","12/12/08 12:21:50","FF","0"
"103","1","2009","Learning in the Zone - Part 3",,"CDNewsletterWEBJan 08.html","1","01/08/09 13:46:22","CD","0"
"104","1","2009","Helping Non-College Bound Students",,"ffNewsWebJan09.html","1","01/08/09 14:20:09","FF","0"
"106","3","2009","Creating a ""College-Going Culture"" in Your School",,"CDNewsWebMar09.html","1","03/04/09 13:36:16","CD","0"
"107","3","2009","Creating a ""College-Going Culture"" in Your School",,"FFNewsWebMAR09.html","1","03/04/09 15:13:32","FF","0"
"109","4","2009","How prepared are students for entering the work-world?",,"CDNewsWebAPR09.html","1","04/06/09 15:05:05","CD","0"
"110","4","2009","How prepared are students for entering the work-world?",,"FFNewsWebAPR09.html","1","04/06/09 15:05:55","FF","0"
"111","5","2009","Community Colleges Might be Your Student's Best Next Step",,"CDNewsWebMAY09.html","1","05/11/09 11:12:52","CD","0"
"112","5","2009","Community Colleges Might be Your Student's Best Next Step",,"FFNewsWebMAY09.html","1","05/11/09 10:54:34","FF","0"
"113","8","2009","Career Direction Meets 9 of 10 National Career Development Goals",,"CDNewsWebAUG09.html","1","08/07/09 13:53:35","CD","0"
"114","9","2009","Meeting National Career Development Guidelines ",,"FFNewsWebAUG09.html","1","09/14/09 07:17:39","FF","0"
"116","10","2009","Dropout Prevention Campaign for Success",,"FFNewsWebOCT09.html","1","10/15/09 13:32:35","FF","0"
"117","10","2009","Dropout Prevention Campaign for Success",,"CDNewsWebOCT09.html","1","10/15/09 13:36:21","CD","0"
"119","2","2010","Motivating to dream the impossible",,"FFNewsWebFEB10.html","1","02/18/10 12:05:41","FF","0"
"120","2","2010","Motivating 9th and 10th grade students to dream the impossible",,"CDNewsWebFeb10.2.html","1","02/18/10 12:18:07","CD","0"
"121","3","2010","Career Direction Congratulates U. S. Paralympic Athlete, Greg Shaw",,"CDNewsWebMAR10.html","1","03/22/10 12:59:38","CD","0"
"122","3","2010","FUTUREFOCUS Congratulates U. S. Paralympic Athlete, Greg Shaw",,"FFNewsWebMAR10.html","1","03/22/10 13:04:10","FF","0"
"123","5","2010","Teaching Students in the Digital Age of Social Media",,"CDNewsWebAPR10.html","1","05/04/10 11:17:32","CD","0"
"124","5","2010","Teaching Students in the Digital Age of Social Media",,"FFNewsWebAPR10.html","1","05/04/10 11:19:10","FF","0"
"128","6","2010","Using Technology in the Classroom - Survey Results",,"CDNewsWebJUN10.html","1","06/25/10 16:58:59","CD","0"
"129","6","2010","Using Technology in the Classroom - Survey Results",,"FFNewsWebJUN10.html","1","06/25/10 17:02:33","FF","0"
"130","12","2010","Sticks and Stones - OUCH! Antibullying Tips",,"CDNewsWebDEC.html","1","12/03/10 17:51:37","CD","0"
"131","12","2010","Sticks and Stones - OUCH! Antibullying Tips",,"FFNewsWebDEC.html","1","12/03/10 17:49:14","FF","0"
"132","2","2011","Helping Economically Disadvantaged Students",,"FebFFNewsCareertrain.html","1","02/02/11 14:16:36","FF","0"
"133","2","2011","Helping Economically Disadvantaged Students",,"FebCDNewsCareertrain.html","1","02/02/11 14:06:57","CD","0"
"134","4","2011","Helping Economically Disadvantaged Students - Part 2",,"AprCD Careertrain.html","1","04/22/11 16:29:20","CD","0"
"135","4","2011","Helping Economically Disadvantaged Students - Part 2",,"TemplateFF Careertrain.html","1","04/22/11 16:30:13","FF","0"
