"ID","StateAbbr","State","Flag_Scholarship"
"1","AK","Alaska","0"
"2","AL","Alabama","0"
"3","AR","Arkansas","0"
"4","AZ","Arizona","0"
"5","CA","California","0"
"6","CO","Colorado","0"
"7","CT","Connecticut","0"
"8","DE","Delaware","0"
"9","FL","Florida","0"
"10","GA","Georgia","0"
"11","HI","Hawaii","0"
"12","IA","Iowa","0"
"13","ID","Idaho","0"
"14","IL","Illinois","0"
"15","IN","Indiana","0"
"16","KS","Kansas","0"
"17","KY","Kentucky","0"
"18","LA","Louisiana","0"
"19","MA","Massachusetts","0"
"20","MD","Maryland","0"
"21","ME","Maine","0"
"22","MI","Michigan","0"
"23","MN","Minnesota","0"
"24","MO","Missouri","0"
"25","MS","Mississippi","0"
"26","MT","Montana","0"
"27","NC","North Carolina","0"
"28","ND","North Dakota","0"
"29","NE","Nebraska","0"
"30","NH","New Hampshire","0"
"31","NJ","New Jersey","0"
"32","NM","New Mexico","0"
"33","NV","Nevada","0"
"34","NY","New York","0"
"35","OH","Ohio","0"
"36","OK","Oklahoma","0"
"37","OR","Oregon","0"
"38","PA","Pennsylvania","0"
"39","RI","Rhode Island","0"
"40","SC","South Carolina","0"
"41","SD","South Dakota","0"
"42","TN","Tennessee","0"
"43","TX","Texas","0"
"44","UT","Utah","0"
"45","VT","Vermont","0"
"46","VA","Virginia","0"
"47","WA","Washington","0"
"48","WI","Wisconsin","0"
"49","WV","West Virginia","0"
"50","WY","Wyoming","0"
"51","DC","District of Columbia","0"
"52","GU","Guam","0"
"53","VI","Virgin Islands","0"
"54","PR","Puerto Rico","0"
