"ID","ID_PK","Goal","Learn","Long_Goal"
"79","12","programmer","how to make computers do cool stuff","becoming owner of Microsoft"
"119","18","volunteer vet tech","the basics and procedures that a veterinarian has to do routinely","getting a doctorate degree in veterinarian medicine to become a Veterinarian"
"123","19","Get a job","Regenerate","Human Transformer"
"153","27","receptionist","more about the field of dentistry and orthodontics","to become a successful dentist or orthodontist"
"158","29","dont  know","dont know","dont know"
"160","30","i am currently a mechanic, but i would like to own my own heavy haul trucking service","this possition will help me learn how to mannage money better, and also gain lots of responsability","becoming a bussiness owner"
"165","34","Adminstrative Assistant","a more ","yes"
"169","35","cashier or hostes","how to handle money and on my communication skills with others","to be able to handle any situation in a calm and collective manor"
"171","37","receptionist in a dental office","more about this field of work and further my knowledge about this career","to become a successful dentist or orthodontist after college"
"184","40","supervisor of the new coming interviewers","more about the mistakes of interviewers","project coordinator"
"187","41","Park Ranger","Knowledge of plants and animals of the outdoors"," a career as a park ranger"
"180","42","Psychologist","more about human emotions. ","psychology "
"196","43","carpenters assistant","how to be a carpenter","being a home builder"
"196","44","carpenters assistant","how to be a carpenter","being a home builder"
"194","45","large building architect","the more advanced applications of architectural design","becoming the head of an architectural design firm"
"198","46","as a colorist/ stylist for red door spa","to execute professional techniques and client satisfaction
","initializing my own beauty salon"
"9873","5341","an entry level service worker. ","the skills necessary to develop a career that will allow me to be a productive citizen in the community while providing opportunities for further advancement","earning a degree in Criminal Justice"
"9889","5354","obtain a part time job as a CNA at white oak manor. ","more about being responsble and more about nursing with the elderly, and earn money for college. ","earing a college degree in nursing. "
"9927","5375","Greeter","enhanced people skills","earning my Architecture and International Studies degrees"
"9937","5376","a business owner","how to run a restaurant","becoming a restaurateur"
"9943","5377","i am going to try and go for the coast guard after i get out of high school","it will give me career objectives that will be helpful getting other jobs","retiring early "
"9929","5378","a surgeon in a bigger hospital","how to deal with people the right way, also in difficult situations, how to use my skills the best way and help a lot of people","becoming a good surgeon and that the people appreciate my work"
"9932","5379","a physical therapist assistant. ","how to become a physical therapist. It will give me time and a job so i can go back to school to major in business. ","owning my own business. "
"9980","5418","a club member","how to work with other club members and interact with them","earning my bachelors degree in art teaching"
"9979","5419","a club member  "," how to interact with other people and work as a team","earning my masters degree in counseling "
"9993","5429","a member of this club","more skills in working as a group","one day owning my own business"
"9998","5430","The Art Instructor ","How to improve communication skills with others ","earning my degree in The Fine Arts program"
"9997","5431","as a combat medic","the basics of medical procedures when someone is hurt","to go to college and become a doctor"
"10088","5432","college English professor","more about literature, communication, and writing","becoming a tenured professor"
"10101","5433","a Medical Assistant","how to interact with patients in a medical environment","becoming a nurse and possible a nurse practitioner"
"10102","5434","a Human Resources Supervisor","human resouces procedures for a medical human resources office","completing my Master's Degree in Human Resources"
"10111","5435","A hairstylist","How to do hair and nails","Being a hairstylist"
"10108","5436","As a basketball coach","Remeber how to learn the plaies faster","Coaching i will try and become a perfesonal basketball coach"
"10109","5437","to work as a contruction worker","contruction work stuff like buildin roads ","high school diploma and at vo-tech"
"10270","5647","a person who  works on dirt bikes ","a lot about dirt bike and how to work tools 
","becoming a small engine mechanic. "
"10270","5648","a person who  works on dirt bikes ","a lot about dirt bike and how to work tools 
","becoming a small engine mechanic. "
"10270","5649","a person who  works on dirt bikes ","a lot about dirt bike and how to work tools 
","becoming a small engine mechanic. "
"10922","5983","winder","More about transformer technology","cross-training in transformer technology"
"11021","6048","a pizza maker or cashier","basic work skills","earning an associate degree in engineering"
"11936","6659","a member of a team","better communication and listening skills","becoming a physician"
"10378","5629","My immediate goal is to work as a sales associate. I am friendly and outgoing, I also have a very good social ability","This position will help me work on my people skills. ","As I pursue my long-term goal of being good with people"
"10380","5630","Stock clerk","pastry procedures  ","earning a college degree in culinary arts"
"10379","5631","a Cashier","people skills ","earning a college degree in Nursing"
"10236","5641","a sales associate","work base skills","finding full-time employment "
"10392","5642","a Box boy stoking the selves","more with interacting with my stoking skills","working at your store and helping others"
"10393","5643","Cashier","How to work","Becoming an lawler"
"10394","5644","I would like to be a coffee aid at caribou coffee","how to please people better when serving them, and understand how to work with them","being a caribou coffee assistant will help me further my knowledge of humans helping to get closer to my job of being a psychologist"
"10398","5645","Work as a part time waitress to support myself through school","how to be more open and less shy about myself","finishing school and working full time"
"10403","5651","I would want to be a cook","How to learn how to cook foods. How to wash, rinse, and sanatize","My long term goal is to get a college degree as a cook. Be in the culinary field"
"10404","5652","a computer software engineer","computer skills and experience ","progressing in the computer field"
"10433","5662","Head Burger Flipper","How to flip burgers with my eyes closed","FLIPPING BURGERS"
"10428","5663","an assistant in an accounting firm","about the job environment ","earning a college degree in business managment/ accounting"
"10429","5664","an Athletic Trainer","to help others","staying around sports"
"10435","5665","A geneticist","Teamwork","becoming a geneticist"
"10441","5666","OB-GYN","how to deliver babies and work with the female body","to become an OB-GYN and be the boss"
"10445","5667","a captain in the military","responsibilities. ","going to college and getting a degree"
"10443","5668","an assistant in a music studio","how to do well in music and what all is needed in the industry","becoming a musician myself or to work in a music studio as a director, agent, ect"
"10473","5683","a forensic psychologist
a drug and alcohol conselour","more about things going on out in the world, as well as learn about different ways people are struggling","studying both forensic psychology and sociology of law, criminology, and deviance"
"10484","5685","To achieve everything i can in the position and a chance to advance further","Just general experience. Im open to learning as much as i can from this job","Becoming a Philadelphia Firefighter"
"10554","5739","a cashier","social skills","earning a college degree in education"
"10562","5740","an assistant to the Recruiting and Retention Battalion within the state of Pennsylvania","the administrative operations of the recruiting and retention program","supporting the Pennsylvania Army National Guard as a full time RRNCO"
"10563","5741","an doctor","to take care of people","earning a college degree in health careers"
"10566","5742","As a elementry school teacher. Later on I would like to own my own daycare","how to teach kids","Earning a college degree in early childhood education"
"10570","5743","an author/writer","how to write a better story and learn how to create dialogue without being too repititive","publishing my 1st book by the time I'm 30"
"10572","5744","a cashier at Home Depot","how to communicate with people in a perfessional way","a criminal detective"
"10573","5745","a kindergarten or preschool teacher's aid","how to work with and teach young children","becoming an early childhood education teacher"
"10574","5746","A radiologist","Human Health","Earning a docutral degree in radiology"
"10574","5747","A radiologist","Human Health","Earning a docutral degree in radiology"
"10576","5748","Sales representative in the Angler department at gander mountain","how to work with people in a business matter and gain skill approved by society","becoming a DNR/Game warden"
"10577","5749","an office secretary","people skills, such as learning how to be more social","earning a bachelor's degree in animal science. "
"10579","5750"," A volunteer at a local police precint ","required skills in the feild","majoring in criminal Justice and going on to be an FBI agent"
"10580","5751","Inventory Control","Office Procedure","Starting my own business"
"10584","5752","an High School Business and Technology Instructor","teaching stratagies and the latest computer inovations that help students learn","teaching STEM classes to high schools students"
"10585","5753","secure an entry-level position as a cashier","how to use a computer operated cash register","knowing how to help run a business"
"10594","5754","To be a Massage Therapist","Massage Therapist will help me learn to help other people take care of there selfs","Massage Therapist is a good way for me to learn how to socialize with other people"
"10593","5755","My goal would be to work on cars and trucks","This would help me learn about cars and trucks","This would help me with my long-term goal of me helping work on cars and truck""s"
"10634","5777","a patrol officer","laws,procedures,safety,traffic control,people skills","becoming a sheriff"
"10635","5778","Cook","To be a cook","College"
"10884","5957","Crew member","customer service, teamwork, and leadership skills","attending Anoka Ramsey Community College as a PSEO student"
"10885","5958","security officer/armed guard","proper procedures for security in the civilian sector","earning a college degree in criminal law"
"10890","5959","My immediate goal is to work as an assistant horse shoer. ","The position will help me learn te fundamentals of becoming a farrier. ","I hope to pursue my long term goal of owning my own business as a farrier. "
"10891","5960","My goal is to obtain a job that will help build a career statue so that one day I may achieve my dream of becoming a lawyer","Anything I will need to know about, it will show me how to do new things and to expand my learning","Becoming a lawyer is my long term goal. I want to help people who are innocent"
"10876","5961","a baker or a prep cook, and save up money to help pay for my college tuition","about marketing and gain more experience about cooking, and save money for college","earning a college degree in auto body and repair"
"10047","5962","an office worker or administrative assistant","business procedures","earning a college degree"
"10897","5963","to gain experience by working in hospital setting","listening skills, while teaching me better leadership  also","going to college to be a Physical Therapist"
"10265","5646","an administrative assistant","office procedures","earning a college degree business administration"
"10402","5650","I am looking for any type of warehousing, Packaging, Store work","More to be an adult and carry out life","Having a great job and making money to keep me going in life"
"10407","5653","Chiropractor assistant","the way of the body and how the spine works","Chiropractor"
"10409","5654","an Physicist","how to learn to get along with people","earning a college degree"
"10410","5655","my immediate goal is to work as the cashier","how to deal with money","get a better job"
"10411","5656","a stock clerk for Big Island Candies","how to stock products for companies","getting into the construction industry"
"10413","5657","a doctors aid","how to deal with the medical aspect of things","earning a college degree in either nursing or forensic science"
"10039","5658","A registered nurse","To help and care for the needy","earning my college degree in nursing"
"10416","5659","a cashier/stock clerk","time management and orginization","earning college majors in mechanical engineering and electrical engineering"
"10421","5660","an cashier","financial skills","earning a college degree in  finance"
"10590","5756","i want to go to the military to be come a sniper","It will help me be paince","being a sniper i will be good at it an i will need math to do this"
"10592","5757","to be a Welder Teacher","learn alot more about Welding then what i know now","being a welding teacher and teaching student how to weld"
"10591","5758","I want to be a football player","to be a good running back","becoming a good professional running back"
"10588","5759","a Heavy Equipment Operator and Diesel Mechanic. ","how to run and fix different types of  Heavy Equipment and able to help me get my OSHA certification and my operators license
","being able to run and repair a large variety of Heavy Equipment. "
"10596","5760","an entry level veterinarian","the basics of veterinary medicine before I become a higher level veterinarian","curing illnesses and other medical conditions of larger animals"
"10597","5761","a stagehand for a theater company","what it is like to work in the acting business","becoming an actor"
"10598","5762","Seeking entry-level in DNR/Conservation officer ","How to do the job better","A Degree to get a job as a farmer or DNR/Conservation Officer"
"10601","5763","a cashier","how to work a computer operated cash register","knowing how to help a business"
