"ID","Company_Name","City","State","Employment_Start","Employment_End","ID_PK","Position","Employment_Start_Change","Employment_End_Change"
"79","Blockbuster","Snellville","GA","08/18/07 00:00:00",,"23","Computer Game Demonstrator",,
"119","Winn-Dixie","Fort Pierce","Florida","04/01/07 00:00:00",,"30","Cashier",,
"129","Fuddruckers","College Station","TX","09/18/07 00:00:00","09/18/07 00:00:00","34","Guest Service Assoiate",,
"131","Texas Aggieland Bookstore","College Station","TX","09/30/06 00:00:00",,"35","Sales Associate/ Internet Manager",,
"155","McDonalds","College Station","Texas","08/20/07 00:00:00",,"49","crew",,
"153","Outback Steakhouse","College Station","Texas","06/01/06 00:00:00",,"50","Hostess",,
"160","Davis land development","College statoin","texas","08/03/07 00:00:00",,"51","mechanic/operator",,
"169","Mcdonalds","College Station","Texas","08/20/07 00:00:00",,"56","crew",,
"171","Outback Steakhouse","College Station","Texas","06/01/06 00:00:00",,"58","Hostess",,
"180","Fuddruckers","College Station","Texas","08/27/07 00:00:00",,"60","Guess Service Associate ",,
"180","Shivers","College Station","Texas","03/16/07 00:00:00","04/22/07 00:00:00","61","Food Handler",,
"180","Ernie's Pizza Place","Redondo Beach ","California","06/05/06 00:00:00","08/05/06 00:00:00","62","Waitress",,
"186","Brazos Valley Carpet Outlet","College Station","Texas","05/24/07 00:00:00","08/04/07 00:00:00","66","Warehouse worker",,
"186","Bornmann Electrics","Byran","Texas","05/25/05 00:00:00","08/11/05 00:00:00","67","Apprentice Electricion",,
"196","Texas A&M physical plant","college station","texas","08/19/07 00:00:00",,"68","carpenters assistant",,
"194","Stylecraft Home Builders","College Station","TX","05/25/07 00:00:00",,"69","Draftsman",,
"191","Public Policy Research Institute","College Station","Texas","08/30/07 00:00:00","09/24/07 00:00:00","70","Interviewer",,
"198","CVS Pharmacy","College Station","TX","08/27/07 00:00:00",,"71","Clerk/ Cashier",,
"10166","United States Equestrian Federation","various","Various","01/01/95 00:00:00",,"6369","Licensed Horse Show Judge",,
"10404","Microsoft","New York","New York","09/09/17 00:00:00","06/12/19 00:00:00","6431","Software Engineer",,
"10404","Mozilla","New York","New York","07/01/19 00:00:00","05/31/22 00:00:00","6432","Platform Software Engineer",,
"10433","Burger King","Midwest City","OK","01/01/09 00:00:00","11/14/11 00:00:00","6434","Manager of Burger Flipping",,
"10450","Solid grounds Cafe","Harrah","OK","01/10/08 00:00:00","12/12/10 00:00:00","6435","barista",,
"10457","Walmart","Moore","Oklahoma","01/01/11 00:00:00","01/20/11 00:00:00","6436","PFC",,
"10443","N/A","N/A","N/A","01/01/12 00:00:00","01/01/12 00:00:00","6437","N/A","Year-Only","Year-Only"
"10467","Golden Ridge Stables","Lakeville","MN","05/20/11 00:00:00",,"6438","Groom",,
